vendor,name,maintainers,codename,removable battery,release,screen,models,RAM,storage,SOC,Wiki Link
xiaomi,Mi 5s Plus,1,natrium,no,2016-10,5.7,,4/6 GB LPDDR4,64/128 GB UFS2.0,Qualcomm MSM8996 Pro Snapdragon 821,https://wiki.lineageos.org/devices/natrium
oneplus,2,2,oneplus2,no,2015-08-28,5.5,,3/4 GB,16/64 GB,Qualcomm MSM8994 Snapdragon 810,https://wiki.lineageos.org/devices/oneplus2
oneplus,3 / 3T,1,oneplus3,"{3: {'removable': False, 'capacity': 3000, 'tech': 'Li-Ion'}} {'3T': {'removable': False, 'capacity': 3400, 'tech': 'Li-Ion'}}","[{'A3000': '2016-06'}, {'A3003': '2016-10'}]",5.5,"A3000,A3003",6 GB LPDDR4,64 GB UFS 2.0 (3) / 64/128 GB UFS 2.0 (3T),Qualcomm MSM8996 Snapdragon 820 (3) / Qualcomm MSM8996 Pro Snapdragon 821 (3T),https://wiki.lineageos.org/devices/oneplus3
motorola,Moto X4,1,payton,no,2017-10,5.2,,3/4/6 GB,32/64/128 GB,Qualcomm SDM630 Snapdragon 630,https://wiki.lineageos.org/devices/payton
sony,Xperia XA2,3,pioneer,no,2018-02,5.2,"H3113,H4113,H3133,H4133,H3123",3 GB,32 GB,Qualcomm SDM630 Snapdragon 630,https://wiki.lineageos.org/devices/pioneer
oppo,R5/R5s (International),1,r5,no,"[{'R8106': '2014-12'}, {'R8106s': '2015-08'}]",5.2,"R8106,R8106s","2 GB (R5), 3 GB (R5s)","16 GB (R5), 32 GB (R5s)",Qualcomm MSM8939 Snapdragon 615,https://wiki.lineageos.org/devices/r5
oppo,R7 Plus (International),1,r7plus,no,2015-05,6.0,R7plusf,3/4 GB,32/64 GB,Qualcomm MSM8939 Snapdragon 615,https://wiki.lineageos.org/devices/r7plus
oppo,R7s (International),1,r7sf,no,2015-11,5.5,R7sf,4 GB,32 GB,Qualcomm MSM8939 Snapdragon 615,https://wiki.lineageos.org/devices/r7sf
leeco,Le 2,2,s2,no,2016-04,5.5,"X520,X522,X526,X527",3 GB,32 GB,Qualcomm MSM8976 Snapdragon 652,https://wiki.lineageos.org/devices/s2
xiaomi,Mi 6,2,sagit,no,2017-04,5.15,,4/6 GB,64/128 GB,Qualcomm MSM8998 Snapdragon 835,https://wiki.lineageos.org/devices/sagit
google,Pixel,2,sailfish,no,2016-10,5.0,,4 GB,32/128 GB,Qualcomm MSM8996 Pro Snapdragon 821,https://wiki.lineageos.org/devices/sailfish
xiaomi,Redmi 4(X),1,santoni,no,2017-05,5.0,,2/3/4 GB,16/32/64 GB,Qualcomm MSM8940 Snapdragon 435,https://wiki.lineageos.org/devices/santoni
xiaomi,Mi Note 2,1,scorpio,no,2016-11,5.7,,4/6 GB LPDDR4,64/128 GB UFS2.0,Qualcomm MSM8996 Pro Snapdragon 821,https://wiki.lineageos.org/devices/scorpio
moto,Nexus 6,2,shamu,no,2014-10-29,5.96,,3 GB,32/64 GB,Qualcomm APQ8084 Snapdragon 805,https://wiki.lineageos.org/devices/shamu
oneplus,6,2,enchilada,no,2018-04,6.28,,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,Qualcomm SDM845 Snapdragon 845,https://wiki.lineageos.org/devices/enchilada
xiaomi,Mi A1,2,tissot,no,2017-10,5.5,,4 GB,32/64 GB,Qualcomm MSM8953 Snapdragon 625,https://wiki.lineageos.org/devices/tissot
lge,G3 (Verizon),2,vs985,yes,2014-06,5.5,,3 GB,16/32 GB,Qualcomm MSM8974AC Snapdragon 801,https://wiki.lineageos.org/devices/vs985
